match_key,match_number,difference,error_value,red_difference,blue_difference,score_sd,merged_red_total,merged_blue_total,red_win_odds,blue_win_odds,score_sd_red,score_sd_blue
2026orwil_qm1,1,23.695,132.923,44.88,2.51,93.78,7.12,128.49,0.13441164911851042,0.8655883508814896,12.605124454333907,81.1748755456661
2026orwil_qm2,2,48.51199999999999,33.142,0.951,96.073,93.78,57.049,396.073,0.005472425385803526,0.9945275746141965,0.5132040526806546,93.26679594731935
2026orwil_qm3,3,122.154,222.834,223.797,20.511,93.78,278.797,-2.511,0.9868338947399791,0.013166105260020933,92.54528264871524,1.2347173512847631
2026orwil_qm4,4,0.042499999999999996,9.661000000000001,0.01,0.075,93.78,50.01,214.925,0.07373184573286959,0.9262681542671304,6.91457249282851,86.86542750717149
2026orwil_qm5,5,24.711000000000002,120.0815,6.018,43.404,93.78,79.018,21.596,0.7070663338037079,0.29293366619629213,66.30868078411173,27.471319215888276
2026orwil_qm6,6,80.7945,167.4735,71.169,90.42,93.78,95.831,162.58,0.26418925245419533,0.7358107475458047,24.77566809515444,69.00433190484556
2026orwil_qm7,7,32.43,16.2505,18.64,46.22,93.78,248.36,102.78,0.9032632527454636,0.0967367472545364,84.70802784246958,9.071972157530425
2026orwil_qm8,8,5.8825,60.046,11.705,0.06,93.78,36.705,154.06,0.14174281636581948,0.8582571836341806,13.29264131878655,80.48735868121345
2026orwil_qm9,9,0.11199999999999999,33.598,0.104,0.12,93.78,41.896,156.12,0.14768906092534184,0.8523109390746582,13.850280133578558,79.92971986642144
2026orwil_qm10,10,1.5670000000000002,84.0655,2.821,0.313,93.78,34.179,150.313,0.14403754832542734,0.8559624516745726,13.507841281958576,80.27215871804142
2026orwil_qm11,11,40.7745,143.06650000000002,33.127,48.422,93.78,12.873,142.422,0.12046707962568302,0.879532920374317,11.297402727296554,82.48259727270344
2026orwil_qm12,12,12.2655,129.9245,19.919,4.612,93.78,172.919,62.612,0.8445832840056605,0.15541671599433948,79.20502037405085,14.574979625949156
2026orwil_qm13,13,33.536500000000004,16.7715,67.061,0.012,93.78,291.939,59.988,0.9723325276221928,0.0276674723778072,91.18534444040924,2.5946555595907594
2026orwil_qm14,14,35.9065,120.803,71.693,0.12,93.78,195.693,26.88,0.9302506744112277,0.06974932558877234,87.23890824628494,6.54109175371507
2026orwil_qm15,15,26.998,107.34299999999999,0.746,53.25,93.78,189.746,112.75,0.765227134648686,0.23477286535131403,71.76300068735377,22.01699931264623
2026orwil_qm16,16,3.8855000000000004,92.5215,7.674,0.097,93.78,131.674,33.903,0.8176281924389954,0.18237180756100457,76.67717188692899,17.10282811307101
2026orwil_qm17,17,1.163,70.441,2.22,0.106,93.78,105.78,220.106,0.14749213970271052,0.8525078602972895,13.831812861320193,79.94818713867981
2026orwil_qm18,18,0.0845,37.578,0.129,0.04,93.78,97.871,253.96,0.08353270080311305,0.916467299196887,7.833696681315942,85.94630331868406
2026orwil_qm19,19,12.869,132.7855,15.861,9.877,93.78,75.861,10.123,0.7327838276168179,0.26721617238318207,68.72046735390519,25.059532646094816
2026orwil_qm20,20,13.065,55.7765,26.06,0.07,93.78,143.94,30.93,0.8499504729848334,0.1500495270151666,79.70835535651767,14.071644643482324
2026orwil_qm21,21,38.230000000000004,120.12549999999999,72.23,4.23,93.78,66.77,209.23,0.10100184028338961,0.8989981597166103,9.471952581776279,84.30804741822372
2026orwil_qm22,22,10.7965,11.199,8.79,12.803,93.78,332.21,19.803,0.9917894470786774,0.008210552921322556,93.01001434703838,0.7699856529616294
2026orwil_qm23,23,6.142,225.5735,0.304,11.98,93.78,63.304,105.02,0.34521050454908375,0.6547894954509162,32.37384111661307,61.40615888338693
2026orwil_qm24,24,18.6515,113.539,37.163,0.14,93.78,47.837,112.14,0.2715501866048221,0.7284498133951779,25.465976499800217,68.31402350019978
2026orwil_qm25,25,9.682500000000001,52.796,19.341,0.024,93.78,40.341,228.976,0.05241479564877268,0.9475852043512273,4.915459535941902,88.8645404640581
2026orwil_qm26,26,20.316000000000003,184.928,6.612,34.02,93.78,33.388,137.02,0.1693415395181757,0.8306584604818243,15.880849576014517,77.89915042398549
2026orwil_qm27,27,0.1075,314.959,0.112,0.103,93.78,85.112,69.897,0.5581073051683577,0.4418926948316423,52.33930307868859,41.440696921311414
2026orwil_qm28,28,30.160500000000003,136.6105,56.581,3.74,93.78,182.581,49.26,0.8855325075716944,0.11446749242830556,83.0452385600735,10.734761439926496
2026orwil_qm29,29,0.5145,18.6445,0.003,1.026,93.78,37.997,301.026,0.017355247900557612,0.9826447520994424,1.6275751481142928,92.15242485188571
