key,team_number,nickname,name,school_name,city,state_prov,country,address,postal_code,gmaps_place_id,gmaps_url,lat,lng,location_name,website,rookie_year,pit_trench,pit_scouter,pit_bump,pit_DB,pit_align,pit_BPS,pit_maxHopper,pit_a_maxFuel,pit_estAccuracy,pit_movingFerry,pit_ferryAutoalign,pit_ferrying,pit_netFerry,drawn_autons,pit_Notes,pit_sideClimb,pit_climb,bps_1,accuracy_1,bpsMatch_1,bps_2,accuracy_2,bpsMatch_2,ba_opr,ba_dpr,ba_ccwms,rank,wins,losses,ties,team_key
frc10444,10444,Ursa Major,Sam Barlow High School,Sam Barlow High School,Gresham,Oregon,USA,,,,,,,,,2025,1,HD,cant,swerve,manual,2,10,8,0.9,1,0,"[""NZ"",""OZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774628467427-1"",""action"":""Start"",""x"":0.4351649081093957,""y"":0.4916761751739669,""end"":false},{""id"":""node-1774628471766-2"",""action"":""Shoot"",""x"":0.35400795899000376,""y"":0.4949544717163385,""end"":true}],""edges"":[{""id"":""edge-1774628486192-3"",""from"":""node-1774628467427-1"",""to"":""node-1774628471766-2"",""cx"":0.3945864335496997,""cy"":0.4933153234451527}]}],""activeAutoId"":""auto-1""}",,0,[],1.31,0.89,,,,,35.4637947227819,-32.5075706707687,67.97136539355057,15,3,2,0,frc10444
frc10991,10991,PioBytes,Argosy Foundation/ORTOP/NASA/Oregon Trail School District/Gene Haas Foundation/Robonauts Everybot&Sandy High School,Sandy High School,Sandy,Oregon,USA,,,,,,,,,2026,1,AP,low confidence,swerve,auto_static,3,20,20,0.85,0,0,[],[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774629014931-1"",""action"":""Start"",""x"":0.4484468314242157,""y"":0.1371667779546972},{""id"":""node-1774629019517-2"",""action"":""Intake"",""x"":0.6901285332661995,""y"":0.38535620730391906},{""id"":""node-1774629021822-3"",""action"":""Shoot"",""x"":0.41577504580483643,""y"":0.27030150495659766},{""id"":""node-1774629025182-4"",""action"":""Intake"",""x"":0.6946041203373474,""y"":0.262083311931789},{""id"":""node-1774629026553-5"",""action"":""Shoot"",""x"":0.37101917509335797,""y"":0.20619959936309004}],""edges"":[{""id"":""edge-1774629029340-6"",""from"":""node-1774629014931-1"",""to"":""node-1774629025182-4"",""cx"":0.5715254758807815,""cy"":0.19962504494324312},{""id"":""edge-1774629030282-7"",""from"":""node-1774629025182-4"",""to"":""node-1774629026553-5"",""cx"":0.5328116477153527,""cy"":0.23414145564743954},{""id"":""edge-1774629031080-8"",""from"":""node-1774629026553-5"",""to"":""node-1774629019517-2"",""cx"":0.5305738541797788,""cy"":0.29577790333350457},{""id"":""edge-1774629031610-9"",""from"":""node-1774629019517-2"",""to"":""node-1774629021822-3"",""cx"":0.5529517895355179,""cy"":0.32782885613025836}]},{""id"":""auto-1774629033673-10"",""name"":""Auto 2"",""nodes"":[{""id"":""node-1774629036503-11"",""action"":""Start"",""x"":0.4667967384159219,""y"":0.5283527659355899,""end"":false},{""id"":""node-1774629038004-12"",""action"":""Shoot"",""x"":0.3933971104490972,""y"":0.540680055472803,""end"":true}],""edges"":[{""id"":""edge-1774629042045-13"",""from"":""node-1774629036503-11"",""to"":""node-1774629038004-12"",""cx"":0.4300969244325096,""cy"":0.5345164107041964}]}],""activeAutoId"":""auto-1774629033673-10""}",,0,[],3.235,1,,,,,43.13156687235721,100.406042730666,-57.27447585830885,20,2,3,0,frc10991
frc1359,1359,Scalawags,"Pacific Power Corp/Ford Family Foundation/Argosy/LAM/Oregon Community Foundation/Feral and Free Creations/International Brotherhood of Electrical Workers Local 280/Optimal Control Systems/Pizza Schmizza/Cafe Rock/Peak Internet/Rice Logging/Lebanon Rotary/SinterCore/H & H Rental/Rauch, McFetridge, Cleveland, and Stein/LBCC Mechatronics/Wilco&Venture Crew 308",Venture Crew 308,Lebanon,Oregon,USA,,97355,,,,,,https://www.scalawags.org,2004,0,DS,can,swerve,auto_moving,2,30,8,0.9,0,1,"[""NZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774626996683-1"",""action"":""Start"",""x"":0.3817605840641128,""y"":0.23331963634495864},{""id"":""node-1774626997980-2"",""action"":""Shoot"",""x"":0.3759423208716206,""y"":0.35494889311212696},{""id"":""node-1774626999750-3"",""action"":""Climb"",""x"":0.29448663617672977,""y"":0.46178540243463967}],""edges"":[{""id"":""edge-1774627004014-4"",""from"":""node-1774626996683-1"",""to"":""node-1774626997980-2"",""cx"":0.37885145246786667,""cy"":0.2941342647285428},{""id"":""edge-1774627004757-5"",""from"":""node-1774626997980-2"",""to"":""node-1774626999750-3"",""cx"":0.3352144785241752,""cy"":0.40836714777338334}]}],""activeAutoId"":""auto-1""}",,1,"[""L1""]",0.73,1,,,,,51.6297220291934,50.42761497030372,1.202107058889645,12,3,2,0,frc1359
frc1425,1425,Error Code Xero,Lam Research/TE Connectivity/Lockheed Martin/Autodesk/Intuitive Foundation/Marie Lamfrom Charitable Foundation&Wilsonville High School,Wilsonville High School,Wilsonville,Oregon,USA,,97070,,,,,,http://www.wilsonvillerobotics.com,2004,1,AP,low confidence,swerve,auto_static,7.5,38,45,0.95,0,1,"[""NZ"",""OZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""2nz Bump"",""nodes"":[{""id"":""node-1774583146890-1"",""action"":""Start"",""x"":0.4446268458944951,""y"":0.15030767127034048},{""id"":""node-1774583147944-2"",""action"":""Intake"",""x"":0.6816080446400966,""y"":0.1380555175714481},{""id"":""node-1774583161137-3"",""action"":""Shoot"",""x"":0.4323773207108258,""y"":0.30170928483522497},{""id"":""node-1774583163344-4"",""action"":""Intake"",""x"":0.6783100955521856,""y"":0.24744974702584438},{""id"":""node-1774583165390-5"",""action"":""Shoot"",""x"":0.4314350495428513,""y"":0.394475591412553}],""edges"":[{""id"":""edge-1774583168225-6"",""from"":""node-1774583146890-1"",""to"":""node-1774583147944-2"",""cx"":0.5631174452672958,""cy"":0.1441815944208943},{""id"":""edge-1774583170236-7"",""from"":""node-1774583147944-2"",""to"":""node-1774583161137-3"",""cx"":0.660406943360669,""cy"":0.22819636264187065},{""id"":""edge-1774583172210-8"",""from"":""node-1774583161137-3"",""to"":""node-1774583163344-4"",""cx"":0.547334403203722,""cy"":0.3021468617530425},{""id"":""edge-1774583172839-9"",""from"":""node-1774583163344-4"",""to"":""node-1774583165390-5"",""cx"":0.4460402526464569,""cy"":0.5196225899083823}]},{""id"":""auto-1774583227002-10"",""name"":""Nz & Depo"",""nodes"":[{""id"":""node-1774583309479-11"",""action"":""Start"",""x"":0.4898558619572739,""y"":0.1319294407220019},{""id"":""node-1774583313741-12"",""action"":""Intake"",""x"":0.7056359594234478,""y"":0.29470805415014356},{""id"":""node-1774583316459-13"",""action"":""Shoot"",""x"":0.44980933731835515,""y"":0.3682209763434979},{""id"":""node-1774583317558-14"",""action"":""Intake"",""x"":0.2524035276276851,""y"":0.3008341309995898},{""id"":""node-1774583318996-15"",""action"":""Shoot"",""x"":0.3946864739918435,""y"":0.46623820593463694}],""edges"":[{""id"":""edge-1774583323631-16"",""from"":""node-1774583309479-11"",""to"":""node-1774583313741-12"",""cx"":0.5977459106903609,""cy"":0.21331874743607274},{""id"":""edge-1774583325190-17"",""from"":""node-1774583313741-12"",""to"":""node-1774583316459-13"",""cx"":0.5916211480985263,""cy"":0.4207302064816081},{""id"":""edge-1774583326210-18"",""from"":""node-1774583316459-13"",""to"":""node-1774583317558-14"",""cx"":0.3511064324730201,""cy"":0.33452755367154385},{""id"":""edge-1774583326789-19"",""from"":""node-1774583317558-14"",""to"":""node-1774583318996-15"",""cx"":0.3235450008097643,""cy"":0.38353616846711336}]}],""activeAutoId"":""auto-1774583227002-10""}",middd,0,[],8,0.96,,,,,128.6352619550717,-0.7668443599948489,129.4021063150666,2,5,0,0,frc1425
frc1540,1540,Flaming Chickens,Polymaker/TEL/FIRST Washington&Catlin Gabel School,Catlin Gabel School,Portland,Oregon,USA,,97225,,,,,,http://www.team1540.org/,2005,1,HD,can,swerve,auto_moving,7,40,55,0.95,1,1,"[""NZ"",""OZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774627258043-1"",""action"":""Start"",""x"":0.4524704119301807,""y"":0.20864992369016455,""end"":false},{""id"":""node-1774627261550-3"",""action"":""Intake"",""x"":0.7221978405612377,""y"":0.3627298611816294,""end"":false},{""id"":""node-1774627263482-4"",""action"":""Shoot"",""x"":0.3963766326501066,""y"":0.1387129474605157,""end"":false},{""id"":""node-1774627270645-5"",""action"":""Intake"",""x"":0.6887803536199801,""y"":0.28732904070708276,""end"":false},{""id"":""node-1774627272478-6"",""action"":""Shoot"",""x"":0.3927961798159183,""y"":0.2348762960291373,""end"":false},{""id"":""node-1774627279910-8"",""action"":""End"",""x"":0.6410409460752203,""y"":0.18570184789356342}],""edges"":[{""id"":""edge-1774627392081-22"",""from"":""node-1774627258043-1"",""to"":""node-1774627261550-3"",""cx"":0.6016559648991495,""cy"":0.07096146891055767},{""id"":""edge-1774627394288-23"",""from"":""node-1774627261550-3"",""to"":""node-1774627263482-4"",""cx"":0.5753992743595193,""cy"":0.06986872007071228},{""id"":""edge-1774627396498-24"",""from"":""node-1774627263482-4"",""to"":""node-1774627270645-5"",""cx"":0.5425784931350434,""cy"":0.21302099408379924},{""id"":""edge-1774627397323-25"",""from"":""node-1774627270645-5"",""to"":""node-1774627272478-6"",""cx"":0.5407882667179492,""cy"":0.26110266836811},{""id"":""edge-1774627398217-26"",""from"":""node-1774627272478-6"",""to"":""node-1774627279910-8"",""cx"":0.5169185629455693,""cy"":0.21028907196135035}]},{""id"":""auto-1774627281342-9"",""name"":""Auto 2"",""nodes"":[{""id"":""node-1774627341188-10"",""action"":""Start"",""x"":0.44113229307745977,""y"":0.21411376793506234,""end"":false},{""id"":""node-1774627344110-11"",""action"":""Intake"",""x"":0.7210044291276744,""y"":0.289514588409609,""end"":false},{""id"":""node-1774627345240-12"",""action"":""Shoot"",""x"":0.3707167570940071,""y"":0.2294124517842395,""end"":false},{""id"":""node-1774627356693-13"",""action"":""Shoot"",""x"":0.3737004495780391,""y"":0.17040311402155084,""end"":false},{""id"":""node-1774627359169-14"",""action"":""Intake"",""x"":0.7120532970422038,""y"":0.43703793281633063,""end"":false},{""id"":""node-1774627361428-15"",""action"":""End"",""x"":0.3062686060786185,""y"":0.27093755799522484}],""edges"":[{""id"":""edge-1774627370521-16"",""from"":""node-1774627344110-11"",""to"":""node-1774627341188-10"",""cx"":0.5810683611025671,""cy"":0.25181417817233565},{""id"":""edge-1774627371875-17"",""from"":""node-1774627341188-10"",""to"":""node-1774627344110-11"",""cx"":0.5810683611025671,""cy"":0.25181417817233565},{""id"":""edge-1774627373550-18"",""from"":""node-1774627356693-13"",""to"":""node-1774627344110-11"",""cx"":0.5795764875438638,""cy"":0.32776134805538726},{""id"":""edge-1774627376801-19"",""from"":""node-1774627356693-13"",""to"":""node-1774627359169-14"",""cx"":0.5428768733101215,""cy"":0.30372052341894074},{""id"":""edge-1774627378256-20"",""from"":""node-1774627359169-14"",""to"":""node-1774627345240-12"",""cx"":0.5413850270681054,""cy"":0.3332251923002851},{""id"":""edge-1774627379409-21"",""from"":""node-1774627345240-12"",""to"":""node-1774627361428-15"",""cx"":0.3384926815863128,""cy"":0.25017500488973216}]}],""activeAutoId"":""auto-1""}",organized pit,0,[],4.85,1,,,,,177.81856598526653,85.68506624273408,92.13349974253249,16,2,3,0,frc1540
frc2471,2471,Team Mean Machine,US Digital/Fisher Investments/Analog Devices/Protech Composites/The Boeing Company/Hewlett Packard/WA OSPI/Camas Washougal Rotary/Wafertech/United Precision Corp&Camas High School&Hockinson High School&Washougal High School&Discovery High School,Discovery High School & Camas High School & Washougal High School & Hockinson High School,Camas,Washington,USA,,98607,,,,,,http://www.team2471.org/,2008,1,NP,can,swerve,auto_moving,10-13,50,70,80,1,0,"[""NZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774625390098-1"",""action"":""Start"",""x"":0.5173708723198925,""y"":0.9113205608916739},{""id"":""node-1774625395624-2"",""action"":""Intake"",""x"":0.6610372173037385,""y"":0.6968257229441677},{""id"":""node-1774625404271-3"",""action"":""Intake"",""x"":0.6583518650610498,""y"":0.7855822076121013},{""id"":""node-1774625418180-4"",""action"":""Shoot"",""x"":0.5258744877550735,""y"":0.8151677025014125},{""id"":""node-1774625427443-5"",""action"":""Shoot"",""x"":0.4171177219261808,""y"":0.8751605115825158}],""edges"":[{""id"":""edge-1774625436445-6"",""from"":""node-1774625390098-1"",""to"":""node-1774625404271-3"",""cx"":0.5878613686904712,""cy"":0.8484513842518876},{""id"":""edge-1774625441080-7"",""from"":""node-1774625404271-3"",""to"":""node-1774625418180-4"",""cx"":0.5921131764080616,""cy"":0.8003749550567569},{""id"":""edge-1774625443715-8"",""from"":""node-1774625418180-4"",""to"":""node-1774625395624-2"",""cx"":0.593455852529406,""cy"":0.75599671272279}]},{""id"":""auto-1774625474877-14"",""name"":""Auto 2"",""nodes"":[{""id"":""node-1774625477988-15"",""action"":""Start"",""x"":0.5151330787843187,""y"":0.09525399352817299},{""id"":""node-1774625480143-16"",""action"":""Intake"",""x"":0.664170128253542,""y"":0.3138579279880836},{""id"":""node-1774625481917-17"",""action"":""Shoot"",""x"":0.39518734527755633,""y"":0.13305768144229288},{""id"":""node-1774625484816-18"",""action"":""Intake"",""x"":0.6690932740318046,""y"":0.4420617391750989},{""id"":""node-1774625487163-19"",""action"":""Shoot"",""x"":0.4524748597882488,""y"":0.19140685191843443}],""edges"":[{""id"":""edge-1774625495707-20"",""from"":""node-1774625477988-15"",""to"":""node-1774625480143-16"",""cx"":0.6583518650610498,""cy"":0.11579947609019467},{""id"":""edge-1774625497688-21"",""from"":""node-1774625480143-16"",""to"":""node-1774625487163-19"",""cx"":0.587190030629799,""cy"":0.1651086342390467},{""id"":""edge-1774625498976-22"",""from"":""node-1774625487163-19"",""to"":""node-1774625484816-18"",""cx"":0.6055399376215052,""cy"":0.20866505727053264},{""id"":""edge-1774625500215-23"",""from"":""node-1774625484816-18"",""to"":""node-1774625481917-17"",""cx"":0.6212044923705227,""cy"":0.1174431146951564}]}],""activeAutoId"":""auto-1774625474877-14""}",,0,[],7.41,0.88,,,,,136.62250676862146,62.842225339967285,73.78028142865416,7,4,1,0,frc2471
frc2521,2521,SERT,Central Lane Robotics/Google/Service Family Foundation/Oregon Department of Education /Springfield Utility Board/FIRSTWA/Autodesk /Boutique Academia /Friends and Family &Family/Community,Family/Community,Eugene,Oregon,USA,,97405,,,,,,http://www.sert2521.org,2008,0,DS,can,swerve,auto_static,12,30,25,0.85,1,0,"[""NZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774625668336-1"",""action"":""Start"",""x"":0.43860053986769043,""y"":0.14045405516462067},{""id"":""node-1774625669504-2"",""action"":""Shoot"",""x"":0.40906166519811465,""y"":0.20537778006060917},{""id"":""node-1774625670459-3"",""action"":""Intake"",""x"":0.6623798934250829,""y"":0.3393343263649905},{""id"":""node-1774625671560-4"",""action"":""Shoot"",""x"":0.36922894026489883,""y"":0.11662129539267553},{""id"":""node-1774625672804-5"",""action"":""Intake"",""x"":0.2568917047790878,""y"":0.28755971030869587},{""id"":""node-1774625673808-6"",""action"":""Shoot"",""x"":0.3696764989720136,""y"":0.286737891006215}],""edges"":[{""id"":""edge-1774625698725-7"",""from"":""node-1774625668336-1"",""to"":""node-1774625670459-3"",""cx"":0.580924208730192,""cy"":0.05991576352149571},{""id"":""edge-1774625701473-8"",""from"":""node-1774625670459-3"",""to"":""node-1774625671560-4"",""cx"":0.5760010629519294,""cy"":0.02704299142226103},{""id"":""edge-1774625707990-9"",""from"":""node-1774625671560-4"",""to"":""node-1774625672804-5"",""cx"":0.31306032252199334,""cy"":0.2020905028506857},{""id"":""edge-1774625709552-10"",""from"":""node-1774625672804-5"",""to"":""node-1774625673808-6"",""cx"":0.31328410187555067,""cy"":0.2871488006574554},{""id"":""edge-1774625712373-11"",""from"":""node-1774625668336-1"",""to"":""node-1774625669504-2"",""cx"":0.42383110253290257,""cy"":0.17291591761261493},{""id"":""edge-1774625730083-12"",""from"":""node-1774625669504-2"",""to"":""node-1774625670459-3"",""cx"":0.5630218604456007,""cy"":0.08457034259592172}]}],""activeAutoId"":""auto-1""}",,0,[],9.375,0.88,,,,,51.734054446529456,143.6802914439702,-91.94623699744076,30,1,4,0,frc2521
frc2550,2550,Skynet,"LAM International/Creative Plastics/Xerox/UnitedHealth Group/Whitaker Ellis Builders, Inc/Argosy/Torrey Edwards/TEL/GK Machine/Autodesk/Troutdale Sand and Gravel&Clackamas Acad-Industrial Sci",Clackamas Acad-Industrial Sci,Oregon City,Oregon,USA,,97045,,,,,,http://team2550.blogspot.com/,2008,1,CW,can,tank,auto_static,2,35-40,8,0.5,1,0,"[""NZ""]","[""NZ""]","{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774625250130-1"",""action"":""Start"",""x"":0.4559340999101898,""y"":0.5616299740188705},{""id"":""node-1774625256339-2"",""action"":""Shoot"",""x"":0.3847926267281106,""y"":0.5415014357992616},{""id"":""node-1774625265707-4"",""action"":""Climb"",""x"":0.30564184861824767,""y"":0.5152468207302064}],""edges"":[{""id"":""edge-1774625272491-5"",""from"":""node-1774625250130-1"",""to"":""node-1774625256339-2"",""cx"":0.4203633633191502,""cy"":0.5515657049090661},{""id"":""edge-1774625273204-6"",""from"":""node-1774625256339-2"",""to"":""node-1774625265707-4"",""cx"":0.34521723767317913,""cy"":0.5283741282647341}]},{""id"":""auto-1774625275586-7"",""name"":""Auto 2"",""nodes"":[{""id"":""node-1774625280454-8"",""action"":""Start"",""x"":0.46865476067784634,""y"":0.5660057431970463},{""id"":""node-1774625283504-9"",""action"":""Shoot"",""x"":0.3937442028238689,""y"":0.5668808970326815}],""edges"":[{""id"":""edge-1774625291426-10"",""from"":""node-1774625265707-4"",""to"":""node-1774625280454-8""},{""id"":""edge-1774625296880-11"",""from"":""node-1774625280454-8"",""to"":""node-1774625283504-9"",""cx"":0.43119948175085765,""cy"":0.566443320114864}]}],""activeAutoId"":""auto-1774625275586-7""}",working on a side climb auto,1,"[""L1""]",2.25,1,,,,,5.4500681427822,47.486013615739736,-42.03594547295754,23,2,3,0,frc2550
frc2557,2557,SOTAbots,Ash Grove (a CRH Company)/FIRST Washington/Olympic Kennel Club/Boeing/Puget Sound Marine Services/TCF Architecture/Hewitt Cabinetry/TAPCO Credit Union/Tacoma School District/Zumar Industries Incorporated/Gray Lumber Company/Elements of Education Partners/City of Fircrest/FIRST Inspires Leadership Winner's Award/Automated Systems of Tacoma&Tacoma School of the Arts&Science & Math Institute&Industrial Design Engineering and Art High School,Industrial Design Engineering and Art High School & Science & Math Institute & Tacoma School of the Arts,Tacoma,Washington,USA,,98408,,,,,,http://www.sotabots.com,2008,1,HD,can,swerve,auto_static,13,30,30,0.75,1,1,"[""NZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774626170405-1"",""action"":""Start"",""x"":0.4572443308313069,""y"":0.49714006944170014,""end"":false},{""id"":""node-1774626172268-2"",""action"":""Shoot"",""x"":0.40234407225154517,""y"":0.5004183659840717,""end"":false},{""id"":""node-1774626343621-27"",""action"":""End"",""x"":0.40831151185298376,""y"":0.5692625933738752}],""edges"":[{""id"":""edge-1774626292712-19"",""from"":""node-1774626170405-1"",""to"":""node-1774626172268-2"",""cx"":0.429794201541426,""cy"":0.4987792177128859},{""id"":""edge-1774626299760-20"",""from"":""node-1774626172268-2"",""to"":""node-1774626170405-1"",""cx"":0.429794201541426,""cy"":0.4987792177128859},{""id"":""edge-1774626347312-28"",""from"":""node-1774626172268-2"",""to"":""node-1774626343621-27"",""cx"":0.40532779205226444,""cy"":0.5348404796789734},{""id"":""edge-1774626347987-29"",""from"":""node-1774626343621-27"",""to"":""node-1774626172268-2"",""cx"":0.40532779205226444,""cy"":0.5348404796789734}]},{""id"":""auto-1774626179024-3"",""name"":""Auto 2"",""nodes"":[{""id"":""node-1774626184915-4"",""action"":""Start"",""x"":0.41547241752136027,""y"":0.7298991239500832,""end"":false},{""id"":""node-1774626194456-5"",""action"":""Shoot"",""x"":0.3742972099281954,""y"":0.6665186907823422,""end"":false},{""id"":""node-1774626197577-6"",""action"":""Intake"",""x"":0.7084728442080155,""y"":0.5758191864586184,""end"":false},{""id"":""node-1774626203382-7"",""action"":""Shoot"",""x"":0.35579818540709784,""y"":0.7659603859161708,""end"":false},{""id"":""node-1774626208118-8"",""action"":""Intake"",""x"":0.7102630706251096,""y"":0.6872812688992526,""end"":false},{""id"":""node-1774626215241-9"",""action"":""End"",""x"":0.36295909107547436,""y"":0.8511960960178322},{""id"":""node-1774626219214-10"",""action"":""Shoot"",""x"":0.42442354960683093,""y"":0.8413612063907173}],""edges"":[{""id"":""edge-1774626308857-21"",""from"":""node-1774626184915-4"",""to"":""node-1774626194456-5"",""cx"":0.3948848137247778,""cy"":0.6982089073662127},{""id"":""edge-1774626311042-22"",""from"":""node-1774626194456-5"",""to"":""node-1774626197577-6"",""cx"":0.5413850270681054,""cy"":0.6211689386204803},{""id"":""edge-1774626313689-23"",""from"":""node-1774626197577-6"",""to"":""node-1774626203382-7"",""cx"":0.6004624441988371,""cy"":0.659962097697599},{""id"":""edge-1774626315869-24"",""from"":""node-1774626203382-7"",""to"":""node-1774626208118-8"",""cx"":0.5634644497900166,""cy"":0.7757952755432855},{""id"":""edge-1774626317192-25"",""from"":""node-1774626208118-8"",""to"":""node-1774626219214-10"",""cx"":0.637460493241032,""cy"":0.9440810980212467},{""id"":""edge-1774626318473-26"",""from"":""node-1774626219214-10"",""to"":""node-1774626215241-9"",""cx"":0.3936913203411526,""cy"":0.8462786512042748}]},{""id"":""auto-1774626242879-12"",""name"":""Auto 3"",""nodes"":[{""id"":""node-1774626249302-13"",""action"":""Start"",""x"":0.4351649081093957,""y"":0.6501272080704842,""end"":false},{""id"":""node-1774626254520-14"",""action"":""Shoot"",""x"":0.3939897005162308,""y"":0.6872812688992526,""end"":false},{""id"":""node-1774626258116-15"",""action"":""Intake"",""x"":0.6989248971390141,""y"":0.529923034865416,""end"":false},{""id"":""node-1774626260885-16"",""action"":""Shoot"",""x"":0.3874255005646359,""y"":0.7637747881908091,""end"":false},{""id"":""node-1774626265812-17"",""action"":""Intake"",""x"":0.7305522669299267,""y"":0.8129492363263829,""end"":false},{""id"":""node-1774626269468-18"",""action"":""End"",""x"":0.3522177325729096,""y"":0.8457322017500989}],""edges"":[{""id"":""edge-1774626355889-30"",""from"":""node-1774626172268-2"",""to"":""node-1774626249302-13""},{""id"":""edge-1774626357892-31"",""from"":""node-1774626254520-14"",""to"":""node-1774626249302-13"",""cx"":0.41457730431281326,""cy"":0.6687042384848684},{""id"":""edge-1774626362185-32"",""from"":""node-1774626249302-13"",""to"":""node-1774626254520-14"",""cx"":0.41457730431281326,""cy"":0.6687042384848684},{""id"":""edge-1774626366738-33"",""from"":""node-1774626254520-14"",""to"":""node-1774626258116-15"",""cx"":0.6040428970330254,""cy"":1},{""id"":""edge-1774626374520-34"",""from"":""node-1774626258116-15"",""to"":""node-1774626260885-16"",""cx"":0.7019086442564206,""cy"":1},{""id"":""edge-1774626383688-35"",""from"":""node-1774626260885-16"",""to"":""node-1774626265812-17"",""cx"":0.5604807573059846,""cy"":0.9550087865110423},{""id"":""edge-1774626395874-36"",""from"":""node-1774626265812-17"",""to"":""node-1774626269468-18"",""cx"":0.5503361045202015,""cy"":0.916762026865264}]}],""activeAutoId"":""auto-1774626242879-12""}","seemed to have a good ceiling, pit was kept in good shape.  Had a flexible hopper and a dual shooter.",0,[],10,0.75,,,,,90.63884311335431,159.8704398673121,-69.23159675395766,21,2,4,0,frc2557
frc2635,2635,Lake Monsters,LAM Research/Intel/Boeing/Mentor Graphics/DWFritz/WA FIRST Robotics/Really Big Video/Markforged&Lake Oswego High School&Lakeridge High School,Lakeridge High School & Lake Oswego High School,Lake Oswego,Oregon,USA,,97034,,,,,,https://www.frc2635.org,2008,0,NP,can,swerve,auto_static,2-3,22,14-16,0.95,1,0,"[""NZ"",""OZ""]",[],"{""version"":1,""autos"":[{""id"":""auto-1"",""name"":""Auto 1"",""nodes"":[{""id"":""node-1774625937685-2"",""action"":""Start"",""x"":0.44441880306018267,""y"":0.2596178540243464},{""id"":""node-1774625946611-3"",""action"":""Intake"",""x"":0.26897578987118703,""y"":0.2998869998459089}],""edges"":[]}],""activeAutoId"":""auto-1""}",,0,[],2.24,1,,,,,3.515672360839286,-43.62514930424776,47.140821665087046,27,2,3,0,frc2635
