 ,,Pick,rank,key,Drive Base,Points?,OPR,EPA,Total avg Fuel,BPS 1,BPS 2,avg_BPS,accuracy 1,acc 2,avg_acc,Auto Fuel,Tele Fuel,A secscoring,T secscoring,Ferried fuel,T secferry,Beach T sum,Broken t sum,notes,
1540,Flaming Chickens,1,1,frc1540,swerve,#DIV/0!,193.1,155.7,#DIV/0!,7.27,3.3,5.285,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,578.641,,
1425,Error Code Xero,2,6,frc1425,swerve,#DIV/0!,135.18,117,#DIV/0!,5.78,6.38,6.08,1,0.89,0.945,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,329.68,,
6696,Cardinal Dynamics,3,9,frc6696,swerve,#DIV/0!,95.65,84.1,#DIV/0!,7.04,6.4,6.72,0.8,1,0.9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,302.57,~ put up 120 by self w defense. intake???,watch qm 62
5937,MI Robotics,4,7,frc5937,swerve,#DIV/0!,88.13,82.7,#DIV/0!,3.64,3.43,3.535,0.86,0.71,0.785,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,400.051,"little slow, but shoot/ferry wihile moving. ferry from OZ + slight defense. i like",
2471,Team Mean Machine,5,10,frc2471,swerve,#DIV/0!,64.77,73.9,#DIV/0!,2.79,3.25,3.02,0.8,0.85,0.825,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,188.102,only put like 110 by self no defense,qm 64
7034,2B Determined,6,11,frc7034,swerve,#DIV/0!,69.93,65.6,#DIV/0!,2.27,5.93,4.1,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,324.317,,
957,SWARM - South and West Albany Robotics Maniacs,7,2,frc957,swerve,#DIV/0!,95.86,95.7,#DIV/0!,3.22,2.01,2.615,0.82,1,0.91,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,300.693,,
3663,CPR - Cedar Park Robotics,8,8,frc3663,swerve,#DIV/0!,78.49,85,#DIV/0!,4.49,2.3,3.395,0.75,1,0.875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,393.978,,
3636,Generals,9,21,frc3636,swerve,#DIV/0!,10.65,28,#DIV/0!,6.67,#DIV/0!,6.67,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,10,37.012,"auto worked ish, scary defense",
6343,Steel Ridge,10,27,frc6343,swerve,#DIV/0!,23.8,28.3,#DIV/0!,1.99,2.7,2.345,0.69,1,0.845,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,148.976,,
4488,Shockwave,11,13,frc4488,swerve,#DIV/0!,47.11,51.1,#DIV/0!,9.38,0,4.69,1,#DIV/0!,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,10,117.379,INTAKE damaged.. check in,
4513,Circuit Breakers,12,3,frc4513,swerve,#DIV/0!,52.7,62.5,#DIV/0!,2.95,2.79,2.87,1,0.9,0.95,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,250.615,,
1595,The Dragons,12,4,frc1595,swerve,#DIV/0!,70.91,60.4,#DIV/0!,3.12,6.67,4.895,0.59,1,0.795,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,308.677,,
2374,Jesuit Robotics,13,5,frc2374,swerve,#DIV/0!,84.8,57.4,#DIV/0!,2.22,2.65,2.435,0.5,0.75,0.625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,296.243,,
2990,Hotwire,14,12,frc2990,swerve,#DIV/0!,54.05,51.7,#DIV/0!,3.48,3.16,3.32,0.82,1,0.91,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,243.494,,
9438,Leopard Tech,15,14,frc9438,swerve,#DIV/0!,11.02,9.8,#DIV/0!,4.92,2.18,3.55,0,0.11,0.055,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,20,16.655,,
4043,NerdHerd,16,22,frc4043,swerve,#DIV/0!,21.83,37.3,#DIV/0!,1.31,#DIV/0!,1.31,1,#DIV/0!,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,117.997,,
2550,Skynet,17,23,frc2550,tank,#DIV/0!,42.72,34.7,#DIV/0!,2.5,2,2.25,1,1,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,10,47.889,defense was pretty good against chickens,
5970,Beavertronics,18,32,frc5970,swerve,#DIV/0!,9.19,6.3,#DIV/0!,2.54,#VALUE!,2.54,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,20.162,,
5975,Beta Blues,19,25,frc5975,swerve,#DIV/0!,18.32,20,#DIV/0!,0.54,0.81,0.675,0.33,0.75,0.54,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,30,22.622,interesting DT,
3574,HIGH TEKERZ,21,16,frc3574,swerve,#DIV/0!,6.62,9.3,#DIV/0!,3.02,#VALUE!,3.02,1,#DIV/0!,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,32.117,,
2915,Pandamonium,22,29,frc2915,swerve,#DIV/0!,14.08,13.1,#DIV/0!,1,1,1,1,#DIV/0!,0.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,40,42.239,,
847,PHRED,23,19,frc847,swerve,#DIV/0!,8.12,24.1,#DIV/0!,2.26,2.98,2.62,0.61,0.76,0.685,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,141.504,,
2898,Flying Hedgehogs,24,17,frc2898,swerve,#DIV/0!,42.38,29.3,#DIV/0!,5.06,#DIV/0!,5.06,0.78,#DIV/0!,0.78,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,34.901,,
6831,A-05 Annex,25,18,frc6831,tank,#DIV/0!,12.54,26.9,#DIV/0!,2,1.25,1.625,0.33,0.83,0.58,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,60.817,,
2635,Lake Monsters,26,15,frc2635,swerve,#DIV/0!,16.14,25,#DIV/0!,0.56,0.57,0.565,0.86,0.86,0.86,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,55.361,,
10444,Ursa Major,27,20,frc10444,swerve,#DIV/0!,10.61,16.9,#DIV/0!,1.31,0.75,1.31,0.89,0.29,0.89,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,35.7,,
3024,My Favorite Team,28,30,frc3024,swerve,#DIV/0!,8.77,13.3,#DIV/0!,1.08,1.92,1.5,0.3,0.71,0.505,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,99.085,,
9613,Lion's Byte,29,31,frc9613,swerve,#DIV/0!,-0.21,7.6,#DIV/0!,#DIV/0!,#VALUE!,1,1,#VALUE!,0.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,1.055,looks like memory loss,
3673,C.Y.B.O.R.G. Seagulls,30,26,frc3673,swerve,#DIV/0!,13.23,17.7,#DIV/0!,4,#DIV/0!,4,0.77,#DIV/0!,0.77,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,43.624,,
4662,Byte Sized Robotics,31,28,frc4662,swerve,#DIV/0!,-3.47,1.5,#DIV/0!,2.74,#DIV/0!,2.74,0.5,#DIV/0!,0.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,0,,
9600,X-Flare Robotics,32,24,frc9600,swerve,#DIV/0!,3.69,14.7,#DIV/0!,3.28,#DIV/0!,3.28,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,0,78.57,,
