team,epr
847,-5.318667
957,-5.274889
1425,-4.665556
1540,4.201444
1595,6.723333
2374,4.050333
2471,-2.140667
2550,-5.815556
2635,1.580444
2898,-2.597000
2915,-1.509889
2990,-5.229222
3024,-7.397111
3574,14.693111
3636,3.895778
3663,9.365222
3673,4.192000
4043,-6.216667
4488,-3.458000
4513,3.702667
4662,3.006778
5937,9.998889
5970,-0.543667
5975,2.329222
6343,1.071778
6696,7.359333
6831,-3.096778
7034,-2.540556
9438,12.696222
9600,5.741000
9613,-10.133444
10444,-8.642889
