scout_init,auto_accuracy,teleop_accuracy,tower_accuracy,auto_error,teleop_error,tower_error,observations,matches
G,0.5066833333333334,0.48734480392156865,1.0,32.558899999999994,130.72707499999999,0.0,1,1
VA,0.42001516100173797,0.43724024605232775,0.7333333333333333,14.344761785714285,57.387350000000005,0.8333333333333334,15,15
ELI DITCHED (R.N.),0.41889369565217394,0.24347868902439018,1.0,13.365445,124.06949500000002,0.0,1,1
R.N.,0.41072,0.37966,0.0,27.69616,93.67134,10.0,1,1
CH,0.38474356370491164,0.5366078825686256,0.8333333333333334,15.535743333333334,52.0041725,1.6666666666666667,6,6
AB,0.37355301584812695,0.27234020185716334,1.0,16.399471176470588,60.123131470588234,0.0,17,17
PK,0.373130877451695,0.3848158977802763,1.0,14.089107272727272,53.116735909090906,0.0,11,11
UNKNOWN,0.34064999875281565,0.30871581040499024,0.168141592920354,18.53648263157895,72.03663,0.0,114,31
LH,0.3138107514880662,0.4716339610275507,0.7741935483870968,19.525246612903224,54.61776783333334,0.7692307692307693,32,32
AE,0.289133666708359,0.2151832315970312,0.8260869565217391,17.3443,61.457687727272734,2.272727272727273,23,23
EM,0.28640948484848483,0.48383162517901973,0.9,19.248714999999997,45.15143450000001,1.0,10,10
ES,0.25651796270346355,0.3293542309676128,0.95,17.24567175,62.9716855,0.5,20,20
SH,0.25067597055200236,0.2778576573203111,0.9333333333333333,19.143425666666666,51.615859666666665,0.6666666666666666,15,15
MV,0.23199895936892662,0.24460189496869467,0.75,20.70477375,67.4334571875,0.7692307692307693,16,16
SK,0.21747912120409807,0.19878022199115591,0.8235294117647058,22.834196470588235,72.78643941176472,0.0,18,18
YA,0.2147953061201539,0.21984721391742257,0.8666666666666667,21.51005392857143,90.92054964285714,0.7142857142857143,15,15
NP,0.208683708444032,0.25387180715976226,0.9230769230769231,19.196734423076922,56.386012307692305,0.4,27,27
EG,0.20826150883862588,0.2635465109517315,0.7916666666666666,22.639079000000002,71.88291699999999,0.5,25,25
AW,0.20455975579146293,0.2681915102428939,0.68,22.872433,67.4125346,3.1818181818181817,25,25
AH,0.18799335338121434,0.32304164125723167,0.8947368421052632,24.78920236842105,78.23743552631578,1.0526315789473684,19,19
CW,0.17991426308585637,0.21248448388328076,0.9473684210526315,27.79379736842105,92.24319555555556,0.5263157894736842,19,19
GK,0.1262146436140733,0.16928369026694423,0.8235294117647058,15.746573666666666,54.128310625,0.0,17,17
HD,0.09808627091642924,0.16431552063814733,0.9305555555555555,20.238578541666666,69.85940958333333,1.25,24,24
DS,0.0,0.06421331749331749,1.0,17.333333333333332,77.21362666666666,0.0,3,3
