key,comp_level,set_number,match_number,team_key,r1,r2,r3,b1,b2,b3,alliance,scouterName,a_startPos,a_hit_robot,a_Climb,a_sideClimb,a_scoringTime,a_scoringTime_segments,a_ferryTime,a_ferryTime_segments,a_planner,a_hit_fieldPart,time_broken,t_scoringTime,t_scoringTime_segments,t_NZferryTime,t_NZferryTime_segments,t_OZferryTime,t_OZferryTime_segments,time_beached,end_Climb,end_sideClimb,defense_NZ,defense_AZ,defense_OZ,defense_bumpTrench,defense_skill,drive_skill,alliance_rank,a_Notes,active_Notes,inactive_Notes,ba_redscore,ba_score,ba_bluescore,ba_winning_alliance,ba_adjustPoints,ba_autoTowerPoints,ba_autoTowerRobot1,ba_autoTowerRobot2,ba_autoTowerRobot3,ba_endGameTowerPoints,ba_endGameTowerRobot1,ba_endGameTowerRobot2,ba_endGameTowerRobot3,ba_energizedAchieved,ba_foulPoints,ba_g206Penalty,ba_majorFoulCount,ba_minorFoulCount,ba_penalties,ba_rp,ba_superchargedAchieved,ba_totalAutoPoints,ba_totalPoints,ba_totalTeleopPoints,ba_totalTowerPoints,ba_traversalAchieved
2026pncmp_qm1,qm,1,1,frc753,frc753,frc4488,frc948,frc3218,frc10991,frc2471,red,Pranav K,middle3,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,32.800000000000196,12.764,"{""version"":1,""segments"":[{""start"":1775843697029,""stop"":1775843697368},{""start"":1775843698762,""stop"":1775843704414},{""start"":1775843711142,""stop"":1775843711565},{""start"":1775843784478,""stop"":1775843788451},{""start"":1775843799297,""stop"":1775843801674}]}",3.491,"{""version"":1,""segments"":[{""start"":1775843677284,""stop"":1775843680775}]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,x,1,,,,208,208,167,red,0,0,None,None,None,0,None,None,None,0,20,0,0,0,None,3,0,57,208,131,0,0
2026pncmp_qm1,qm,1,1,frc4488,frc753,frc4488,frc948,frc3218,frc10991,frc2471,red,Eve G,outpostWall5,1,0,0,1.026,"{""version"":1,""segments"":[{""start"":1775766859801,""stop"":1775766860827}]}",0,"{""version"":1,""segments"":[]}",Auto 2,0,0,2.581,"{""version"":1,""segments"":[{""start"":1775766896216,""stop"":1775766898359},{""start"":1775766918554,""stop"":1775766918992}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,0,1,Hit other alliance robot,"fairly good shooter, shot in a clump and had decent accuracy ","Couldn't intake a ton at a time, kind of ineffective intake. Kinda forgot to track ferrying 😓",208,208,167,red,0,0,None,None,None,0,None,None,None,0,20,0,0,0,None,3,0,57,208,131,0,0
2026pncmp_qm1,qm,1,1,frc948,frc753,frc4488,frc948,frc3218,frc10991,frc2471,red,Adam M,depotWall1,0,0,0,5.802,"{""version"":1,""segments"":[{""start"":1775766843942,""stop"":1775766847048},{""start"":1775766853909,""stop"":1775766855816},{""start"":1775766856207,""stop"":1775766856996}]}",0,"{""version"":1,""segments"":[]}",,0,0,6.926,"{""version"":1,""segments"":[{""start"":1775766867995,""stop"":1775766871440},{""start"":1775766898609,""stop"":1775766901215},{""start"":1775766952319,""stop"":1775766952780},{""start"":1775766954078,""stop"":1775766954492}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,0,2,"moved well in auto, didn't hit anything. Scored two full hoppers of fuel with 95 percent accuracy",Attempted to score each time they had a full hopper,"no ferrying, just corralling balls to the alliance zone.",208,208,167,red,0,0,None,None,None,0,None,None,None,0,20,0,0,0,None,3,0,57,208,131,0,0
2026pncmp_qm1,qm,1,1,frc3218,frc753,frc4488,frc948,frc3218,frc10991,frc2471,blue,Archer B,outpostWall5,0,0,0,6.105,"{""version"":1,""segments"":[{""start"":1775766838012,""stop"":1775766840615},{""start"":1775766840805,""stop"":1775766841495},{""start"":1775766841636,""stop"":1775766841902},{""start"":1775766842244,""stop"":1775766842325},{""start"":1775766847594,""stop"":1775766849640},{""start"":1775766849911,""stop"":1775766850330}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0,24.465,"{""version"":1,""segments"":[{""start"":1775766869458,""stop"":1775766869538},{""start"":1775766870154,""stop"":1775766870548},{""start"":1775766870729,""stop"":1775766876120},{""start"":1775766885465,""stop"":1775766887750},{""start"":1775766892634,""stop"":1775766892732},{""start"":1775766916295,""stop"":1775766916494},{""start"":1775766917534,""stop"":1775766924324},{""start"":1775766928120,""stop"":1775766928255},{""start"":1775766928391,""stop"":1775766928459},{""start"":1775766928653,""stop"":1775766928670},{""start"":1775766931966,""stop"":1775766932028},{""start"":1775766932156,""stop"":1775766933004},{""start"":1775766933197,""stop"":1775766935752},{""start"":1775766935963,""stop"":1775766936050},{""start"":1775766936719,""stop"":1775766936861},{""start"":1775766937036,""stop"":1775766937137},{""start"":1775766937363,""stop"":1775766937636},{""start"":1775766938743,""stop"":1775766938901},{""start"":1775766939756,""stop"":1775766939821},{""start"":1775766940968,""stop"":1775766941299},{""start"":1775766942356,""stop"":1775766942394},{""start"":1775766942518,""stop"":1775766942744},{""start"":1775766943015,""stop"":1775766943114},{""start"":1775766943205,""stop"":1775766943304},{""start"":1775766943754,""stop"":1775766943795},{""start"":1775766943987,""stop"":1775766944024},{""start"":1775766944295,""stop"":1775766944444},{""start"":1775766944573,""stop"":1775766944764},{""start"":1775766944874,""stop"":1775766944914},{""start"":1775766945087,""stop"":1775766945131},{""start"":1775766946463,""stop"":1775766946522},{""start"":1775766969588,""stop"":1775766969670},{""start"":1775766969837,""stop"":1775766969898},{""start"":1775766970051,""stop"":1775766970069},{""start"":1775766970637,""stop"":1775766972173},{""start"":1775766972375,""stop"":1775766974041}]}",2.812,"{""version"":1,""segments"":[{""start"":1775766866169,""stop"":1775766866840},{""start"":1775766867039,""stop"":1775766867132},{""start"":1775766867320,""stop"":1775766867402},{""start"":1775766868090,""stop"":1775766868171},{""start"":1775766868337,""stop"":1775766868409},{""start"":1775766868529,""stop"":1775766868558},{""start"":1775766880620,""stop"":1775766880930},{""start"":1775766881268,""stop"":1775766881350},{""start"":1775766881557,""stop"":1775766881607},{""start"":1775766882237,""stop"":1775766882557},{""start"":1775766882836,""stop"":1775766882929},{""start"":1775766883699,""stop"":1775766883759},{""start"":1775766909592,""stop"":1775766909681},{""start"":1775766909921,""stop"":1775766910011},{""start"":1775766910212,""stop"":1775766910220},{""start"":1775766910432,""stop"":1775766910521},{""start"":1775766911030,""stop"":1775766911130},{""start"":1775766912579,""stop"":1775766912668},{""start"":1775766929011,""stop"":1775766929070},{""start"":1775766929471,""stop"":1775766929540},{""start"":1775766929689,""stop"":1775766929739},{""start"":1775766929940,""stop"":1775766929989},{""start"":1775766930638,""stop"":1775766930660},{""start"":1775766930829,""stop"":1775766930896},{""start"":1775766931028,""stop"":1775766931098},{""start"":1775766949585,""stop"":1775766949603}]}",3.26,"{""version"":1,""segments"":[{""start"":1775766915505,""stop"":1775766915798},{""start"":1775766949882,""stop"":1775766952217},{""start"":1775766953892,""stop"":1775766954050},{""start"":1775766957079,""stop"":1775766957336},{""start"":1775766957637,""stop"":1775766957854}]}",0,0,0,0,0,0,0,x,0,2,scored some in collected more then came back,Shot a good amount of fuel in just relatively slow fire rate,ferried using hopper,208,167,167,red,0,0,None,None,None,0,None,None,None,0,0,0,1,1,None,0,0,29,167,138,0,0
2026pncmp_qm1,qm,1,1,frc10991,frc753,frc4488,frc948,frc3218,frc10991,frc2471,blue,Hendrix D,middle3,0,0,0,1.682,"{""version"":1,""segments"":[{""start"":1775766836628,""stop"":1775766837317},{""start"":1775766839281,""stop"":1775766839765},{""start"":1775766840613,""stop"":1775766840654},{""start"":1775766841253,""stop"":1775766841295},{""start"":1775766850319,""stop"":1775766850642},{""start"":1775766851393,""stop"":1775766851496}]}",0,"{""version"":1,""segments"":[]}",Auto 2,0,0,0,"{""version"":1,""segments"":[]}",3.094,"{""version"":1,""segments"":[{""start"":1775766938732,""stop"":1775766938777},{""start"":1775766940474,""stop"":1775766941993},{""start"":1775766959171,""stop"":1775766959914},{""start"":1775766981534,""stop"":1775766981972},{""start"":1775766984243,""stop"":1775766984332},{""start"":1775766985838,""stop"":1775766986098}]}",0,"{""version"":1,""segments"":[]}",0,0,0,1,0,1,1,.5,0,1,"were able to shoot pre loads, tried to collect from the depot but collected only a couple fuel","were focused on ferrying and preventing the other alliance from setting up for their next shift. Were able to shoot accurately but not that fast, experienced more trouble with their intake. harried the opposing bots when they tried to collect from the netural zone","played good defense, prevent the opposing bots from crossing the bump, did a good job keeping fuel away, but did not have the most impact when ramming other bots or trying to move them",208,167,167,red,0,0,None,None,None,0,None,None,None,0,0,0,1,1,None,0,0,29,167,138,0,0
2026pncmp_qm1,qm,1,1,frc2471,frc753,frc4488,frc948,frc3218,frc10991,frc2471,blue,Cayden W,depotWall1,1,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,7.599999999999989,7.609,"{""version"":1,""segments"":[{""start"":1775766878965,""stop"":1775766879406},{""start"":1775766879581,""stop"":1775766880078},{""start"":1775766880372,""stop"":1775766880809},{""start"":1775766881256,""stop"":1775766881657},{""start"":1775766881961,""stop"":1775766882519},{""start"":1775766882768,""stop"":1775766883157},{""start"":1775766883615,""stop"":1775766884105},{""start"":1775766921235,""stop"":1775766921345},{""start"":1775766921497,""stop"":1775766921951},{""start"":1775766922119,""stop"":1775766922378},{""start"":1775766922520,""stop"":1775766922662},{""start"":1775766922772,""stop"":1775766923121},{""start"":1775766923270,""stop"":1775766923308},{""start"":1775766924131,""stop"":1775766924163},{""start"":1775766926320,""stop"":1775766926569},{""start"":1775766926758,""stop"":1775766926839},{""start"":1775766926968,""stop"":1775766927026},{""start"":1775766927779,""stop"":1775766927938},{""start"":1775766928060,""stop"":1775766928120},{""start"":1775766928436,""stop"":1775766928467},{""start"":1775766928881,""stop"":1775766928950},{""start"":1775766929317,""stop"":1775766929328},{""start"":1775766930090,""stop"":1775766930140},{""start"":1775766930322,""stop"":1775766930393},{""start"":1775766930551,""stop"":1775766930592},{""start"":1775766930880,""stop"":1775766930941},{""start"":1775766931141,""stop"":1775766931200},{""start"":1775766931480,""stop"":1775766931570},{""start"":1775766931915,""stop"":1775766932005},{""start"":1775766932247,""stop"":1775766932306},{""start"":1775766932466,""stop"":1775766932526},{""start"":1775766932867,""stop"":1775766932916},{""start"":1775766933347,""stop"":1775766933430},{""start"":1775766933956,""stop"":1775766934009},{""start"":1775766934159,""stop"":1775766934179},{""start"":1775766934717,""stop"":1775766934772},{""start"":1775766935578,""stop"":1775766935650},{""start"":1775766936118,""stop"":1775766936183},{""start"":1775766936330,""stop"":1775766936377},{""start"":1775766936530,""stop"":1775766936599},{""start"":1775766937256,""stop"":1775766937337},{""start"":1775766937538,""stop"":1775766937594},{""start"":1775766937744,""stop"":1775766937793},{""start"":1775766939882,""stop"":1775766939963},{""start"":1775766940626,""stop"":1775766940687},{""start"":1775766941686,""stop"":1775766941754},{""start"":1775766968877,""stop"":1775766968969},{""start"":1775766969315,""stop"":1775766969349},{""start"":1775766969460,""stop"":1775766969529},{""start"":1775766969659,""stop"":1775766969737},{""start"":1775766970126,""stop"":1775766970207},{""start"":1775766970346,""stop"":1775766970407},{""start"":1775766970559,""stop"":1775766970607},{""start"":1775766970838,""stop"":1775766970866},{""start"":1775766971900,""stop"":1775766971970},{""start"":1775766973768,""stop"":1775766973831},{""start"":1775766973971,""stop"":1775766974022},{""start"":1775766974181,""stop"":1775766974210},{""start"":1775766974798,""stop"":1775766974808},{""start"":1775766992496,""stop"":1775766992565},{""start"":1775766997679,""stop"":1775766997689},{""start"":1775766998229,""stop"":1775766998240}]}",3.161,"{""version"":1,""segments"":[{""start"":1775766869192,""stop"":1775766869454},{""start"":1775766870007,""stop"":1775766870503},{""start"":1775766871114,""stop"":1775766871442},{""start"":1775766908469,""stop"":1775766909021},{""start"":1775766909257,""stop"":1775766909331},{""start"":1775766910057,""stop"":1775766910188},{""start"":1775766911725,""stop"":1775766912312},{""start"":1775766912920,""stop"":1775766913219},{""start"":1775766947707,""stop"":1775766948016},{""start"":1775766948701,""stop"":1775766948771},{""start"":1775766949220,""stop"":1775766949273}]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,-.5,1,they got hit and got stuck on fuel,"they was very inaccurate with shooting, they also lost connection in the match ",trying ferry fuel but looked like they was shooting out of the arena more then anything ,208,167,167,red,0,0,None,None,None,0,None,None,None,0,0,0,1,1,None,0,0,29,167,138,0,0
2026pncmp_qm10,qm,1,10,frc2976,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,red,naman p,depotWall1,0,0,0,4.78,"{""version"":1,""segments"":[{""start"":1775772221064,""stop"":1775772222888},{""start"":1775772223191,""stop"":1775772226055},{""start"":1775772227331,""stop"":1775772227423}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0,6.174,"{""version"":1,""segments"":[{""start"":1775772254937,""stop"":1775772259201},{""start"":1775772382744,""stop"":1775772384654}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,1,0,0,0,1,very inaccurate shots,they didn't contribute too much and played mediocre defense and kind of made a difference,,385,385,418,blue,0,0,None,None,None,10,None,Level1,None,1,20,0,0,0,None,1,0,58,385,307,10,0
2026pncmp_qm10,qm,1,10,frc2522,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,red,James H,middle3,0,0,0,4.341,"{""version"":1,""segments"":[{""start"":1775772229111,""stop"":1775772231494},{""start"":1775772232073,""stop"":1775772234031}]}",1.585,"{""version"":1,""segments"":[{""start"":1775772234205,""stop"":1775772235790}]}",Auto 1,0,0,44.291,"{""version"":1,""segments"":[{""start"":1775772261563,""stop"":1775772263810},{""start"":1775772266582,""stop"":1775772271696},{""start"":1775772273908,""stop"":1775772276312},{""start"":1775772308184,""stop"":1775772315022},{""start"":1775772319663,""stop"":1775772325013},{""start"":1775772352026,""stop"":1775772362225},{""start"":1775772363550,""stop"":1775772370481},{""start"":1775772371365,""stop"":1775772371981},{""start"":1775772375062,""stop"":1775772379654}]}",2.774,"{""version"":1,""segments"":[{""start"":1775772285183,""stop"":1775772285787},{""start"":1775772289477,""stop"":1775772290133},{""start"":1775772329163,""stop"":1775772330677}]}",1.761,"{""version"":1,""segments"":[{""start"":1775772253874,""stop"":1775772254160},{""start"":1775772331944,""stop"":1775772332403},{""start"":1775772333679,""stop"":1775772334695}]}",0,0,1,0,0,1,0,0,1,1,Doesn't have climb in auto but it can get some scoring in,has a fast shooter that can aim and shoot accurately while moving with a large range.,can play defense against other robots and shoot balls from one side of the field to the other when ferrying,385,385,418,blue,0,0,None,None,None,10,None,Level1,None,1,20,0,0,0,None,1,0,58,385,307,10,0
2026pncmp_qm10,qm,1,10,frc955,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,red,Adam M,outpostWall5,0,0,0,6.141,"{""version"":1,""segments"":[{""start"":1775772223489,""stop"":1775772225606},{""start"":1775772231944,""stop"":1775772235968}]}",0,"{""version"":1,""segments"":[]}",,1,0,15.683,"{""version"":1,""segments"":[{""start"":1775772250340,""stop"":1775772252399},{""start"":1775772262318,""stop"":1775772262377},{""start"":1775772262586,""stop"":1775772264383},{""start"":1775772265004,""stop"":1775772265545},{""start"":1775772266594,""stop"":1775772266842},{""start"":1775772268097,""stop"":1775772269357},{""start"":1775772273652,""stop"":1775772273802},{""start"":1775772274695,""stop"":1775772274745},{""start"":1775772276707,""stop"":1775772276786},{""start"":1775772293634,""stop"":1775772293723},{""start"":1775772303137,""stop"":1775772309154},{""start"":1775772312788,""stop"":1775772315555},{""start"":1775772319402,""stop"":1775772319469},{""start"":1775772320285,""stop"":1775772320311},{""start"":1775772320632,""stop"":1775772320664},{""start"":1775772351042,""stop"":1775772351351},{""start"":1775772351629,""stop"":1775772351762}]}",0,"{""version"":1,""segments"":[]}",1.398,"{""version"":1,""segments"":[{""start"":1775772299808,""stop"":1775772301206}]}",0,0,0,0,0,0,0,x,.5,2,"Amazing auto, even though they hit the hub on the way in","Good shooting, able to shoot from multiple areas and ranges in the alliance zone","some ferrying from the opposite alliance side, but very little, just pushing fuel to the alliance zone.",385,385,418,blue,0,0,None,None,None,10,None,Level1,None,1,20,0,0,0,None,1,0,58,385,307,10,0
2026pncmp_qm10,qm,1,10,frc3218,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,blue,Annalee M,depotWall1,0,0,0,4.708,"{""version"":1,""segments"":[{""start"":1775772221689,""stop"":1775772225951},{""start"":1775772226511,""stop"":1775772226711},{""start"":1775772227378,""stop"":1775772227492},{""start"":1775772227595,""stop"":1775772227685},{""start"":1775772227791,""stop"":1775772227833}]}",0,"{""version"":1,""segments"":[]}",,0,0,16.712,"{""version"":1,""segments"":[{""start"":1775772244715,""stop"":1775772249036},{""start"":1775772276072,""stop"":1775772278640},{""start"":1775772282062,""stop"":1775772282322},{""start"":1775772285646,""stop"":1775772286213},{""start"":1775772295228,""stop"":1775772296735},{""start"":1775772298895,""stop"":1775772299233},{""start"":1775772330819,""stop"":1775772334148},{""start"":1775772361223,""stop"":1775772363241},{""start"":1775772364081,""stop"":1775772364357},{""start"":1775772365301,""stop"":1775772366280},{""start"":1775772371956,""stop"":1775772372124},{""start"":1775772372858,""stop"":1775772372936},{""start"":1775772374776,""stop"":1775772374825},{""start"":1775772375324,""stop"":1775772375440},{""start"":1775772378905,""stop"":1775772379043}]}",0,"{""version"":1,""segments"":[]}",15.547,"{""version"":1,""segments"":[{""start"":1775772253257,""stop"":1775772255943},{""start"":1775772267128,""stop"":1775772269816},{""start"":1775772302214,""stop"":1775772304025},{""start"":1775772308061,""stop"":1775772308501},{""start"":1775772308669,""stop"":1775772309008},{""start"":1775772309146,""stop"":1775772309212},{""start"":1775772346812,""stop"":1775772354329}]}",0,0,0,0,1,1,0,0,.5,1,After about Five seconds of shooting they stopped,they mostly just collected fuel and they did shoot a bit their turrets do work well,the defense did work but was not used as much and they are great at collecting the fuel.,385,418,418,blue,0,0,None,None,None,0,None,None,None,1,0,0,1,1,None,5,1,61,418,357,0,0
